id,school_id,constituent_id,staff_id,campaign_id,fund_id,status,expected_ask_amount,ask_amount,accepted_amount,expected_ask_date,ask_date,response_date,closed_at,close_reason,likelihood_band,notes
1,1,14201,1,7,19,soliciting,250000.00,250000.00,,2026-06-15,2026-07-15,,,,high,Leadership ask for the campus renewal phase.
2,1,18989,2,4,22,closed_lost,100000.00,100000.00,,2026-02-20,2026-03-10,2026-03-25,2026-03-25,Other philanthropic priorities,low,Reunion scholarship proposal declined.
3,1,8738,3,5,7,qualifying,75000.00,,,2026-11-15,,,,,medium,Recent career change prompted qualification research. The larger-than-history ask is an intentional stretch supported by a recent promotion to Vice President of Product.
4,1,15674,4,7,19,closed_won,2750000.00,2750000.00,2750000.00,2025-12-15,2026-01-08,2026-02-01,2026-02-20,Funded,high,Lead commitment for the library renewal initiative.
5,1,19391,5,7,6,committed,100000.00,100000.00,100000.00,2026-04-15,2026-05-01,2026-05-15,,,committed,Multi-year commitment pending remaining installments.
6,1,14456,1,2,2,soliciting,50000.00,50000.00,,2026-03-01,2026-03-15,,,,medium,Annual fund proposal is awaiting a response.
7,1,7225,2,7,10,cultivating,250000.00,,,2027-01-15,,,,,medium,Foundation relationship under cultivation.
8,1,7913,3,2,4,identified,25000.00,,,2027-02-15,,,,,low,Potential first-generation scholarship prospect.
9,1,2548,4,5,7,cultivating,50000.00,,,2026-12-01,,,,,medium,Engineering alumnus with recurring engagement.
10,1,6236,5,4,22,closed_won,50000.00,50000.00,50000.00,2026-04-15,2026-05-01,2026-05-12,2026-05-20,Funded,high,Reunion scholarship commitment received.
11,1,14267,1,6,13,closed_lost,25000.00,25000.00,,2025-10-01,2025-10-15,2025-10-28,2025-10-28,Timing was not right,low,Athletics proposal declined for this cycle.
12,1,12973,2,7,6,qualifying,100000.00,,,2027-03-01,,,,,medium,Qualification underway for the library initiative.
13,1,14771,3,5,4,committed,75000.00,75000.00,75000.00,2026-05-15,2026-06-01,2026-06-18,,,committed,Verbal scholarship commitment; pledge documentation received.
14,1,9589,4,7,19,identified,500000.00,,,2027-04-01,,,,,low,Trustee prospect identified for the capital initiative. The larger-than-history ask is an intentional stretch supported by trustee service and a current senior leadership role.
15,1,14894,5,2,2,soliciting,100000.00,100000.00,,2026-07-01,2026-08-01,,,,high,Leadership annual fund ask is in follow-up.
16,1,19806,1,11,11,cultivating,25000.00,,,2026-12-15,,,,,medium,Arts engagement supports cultivation.
